generated_at,2026-01-30T08:07:40.738649+00:00
area,simulation_id,resolution_m,model,peak_intensity_mmh,total_precip_mm,file_rel_path,file_size_bytes,sha256
CREXDATA_Dortmund_DRZ,simulation-2ff9c713-07d2-4431-8496-58d069f25ae8,1,deepwaive-5.1,90.0,90.0,CREXDATA_Dortmund_DRZ/simulation-2ff9c713-07d2-4431-8496-58d069f25ae8/max_water_levels.tif,104833229,12ae48065ad3c00fbab7957930bbfca733b6105a288a971d9b1f634c62ebcfc8
CREXDATA_Dortmund_DRZ,simulation-3cadc511-54b6-44c8-88b2-7568598749b6,2,deepwaive-5.1-large,100.0,100.0,CREXDATA_Dortmund_DRZ/simulation-3cadc511-54b6-44c8-88b2-7568598749b6/max_water_levels.tif,29258324,d1681bf23305fe44916a3740d8eb15c309e5f9c7d9bd6f878bfab84fa5cb9ff9
CREXDATA_Dortmund_DRZ,simulation-4e65249f-15aa-4290-aee3-9b66d5307575,4,deepwaive-5.1,90.0,90.0,CREXDATA_Dortmund_DRZ/simulation-4e65249f-15aa-4290-aee3-9b66d5307575/max_water_levels.tif,8896723,4dfcd4b2d4cc82cc98ca1690322e2b55aa7782beaee90b84098f79b7be1bff2c
CREXDATA_Dortmund_DRZ,simulation-70c0a936-f1bb-4547-a8e3-6c810277def6,8,deepwaive-5.1-large,90.0,65.8,CREXDATA_Dortmund_DRZ/simulation-70c0a936-f1bb-4547-a8e3-6c810277def6/max_water_levels.tif,2264787,bc43493257a07efa16e53c363ca2256305442c3f0c5702446f3665f9a9c311b5
CREXDATA_Dortmund_DRZ,simulation-7a598ba5-e55d-43b4-b814-0c5e4f00719e,4,deepwaive-5.1,80.0,80.0,CREXDATA_Dortmund_DRZ/simulation-7a598ba5-e55d-43b4-b814-0c5e4f00719e/max_water_levels.tif,8635379,aaeaced87d67b21964bf00d772aae51ee166a3280fb86527c19fbbf463cd2b4d
CREXDATA_Dortmund_DRZ,simulation-82691fab-d434-4946-aac5-1c3914ef56a7,1,deepwaive-5.1,90.0,90.0,CREXDATA_Dortmund_DRZ/simulation-82691fab-d434-4946-aac5-1c3914ef56a7/max_water_levels.tif,104837893,f7513b283950997a2202ae909dc64771256f85e6fe56de04c5252bd103281e3e
CREXDATA_Dortmund_DRZ,simulation-a5564dc5-da55-491d-9bd9-4ec66969ac99,8,deepwaive-5.1,90.0,90.0,CREXDATA_Dortmund_DRZ/simulation-a5564dc5-da55-491d-9bd9-4ec66969ac99/max_water_levels.tif,2543389,359be6923f442bf32f50c36be7a9313c34b1bbb1b534272d65d8b9dd2cc07c79
CREXDATA_Dortmund_DRZ,simulation-ac27368f-2f4a-4adc-a4ef-6d828cb401fc,4,deepwaive-5.1,110.0,110.0,CREXDATA_Dortmund_DRZ/simulation-ac27368f-2f4a-4adc-a4ef-6d828cb401fc/max_water_levels.tif,9356362,f73b319f84afd844e14563148166784eaa0c7d4c97fe8b024825144301cd4fa0
CREXDATA_Dortmund_DRZ,simulation-bbafa906-3fed-48f9-ba0c-6f464795f6f5,4,deepwaive-5.2,90.0,65.8,CREXDATA_Dortmund_DRZ/simulation-bbafa906-3fed-48f9-ba0c-6f464795f6f5/max_water_levels.tif,6490962,39fcfc4fef5bbcb2105a34ada2b738994506313097c00041d1b10539d55810bc
CREXDATA_Dortmund_DRZ,simulation-d134b9fc-d295-439c-8111-5d0aabdc91f0,4,deepwaive-5.1,20.0,15.0,CREXDATA_Dortmund_DRZ/simulation-d134b9fc-d295-439c-8111-5d0aabdc91f0/max_water_levels.tif,5336018,ab93db3055854c6269d4e04da68db8c7047f80f2672e9a5f78b7f68383555d17
CREXDATA_Dortmund_DRZ,simulation-d32798eb-f4f2-49eb-89b2-32526ae3f546,1,deepwaive-5.1,90.0,90.0,CREXDATA_Dortmund_DRZ/simulation-d32798eb-f4f2-49eb-89b2-32526ae3f546/max_water_levels.tif,104839480,b113ac27b5771f9ff52d75c7f1dbd863eaeb4bc88c1cc16fcbb48547a4183597
CREXDATA_Dortmund_DRZ,simulation-e71c76da-f645-4de8-80d4-9e34046382f5,2,deepwaive-5.1-large,100.0,100.0,CREXDATA_Dortmund_DRZ/simulation-e71c76da-f645-4de8-80d4-9e34046382f5/max_water_levels.tif,29268664,a9553512099fea73f9964f2e952cc871af6940a336c9c0ea675a96c08b23c7db
CREXDATA_Dortmund_DRZ,simulation-ed3f4a2c-b525-400d-b1ce-cde6900c5881,4,deepwaive-5.1,90.0,100.0,CREXDATA_Dortmund_DRZ/simulation-ed3f4a2c-b525-400d-b1ce-cde6900c5881/max_water_levels.tif,8907660,4692be40ac8d8dce163c01f44e8979e08a4487b9869ca9b230435444ee05f2e0
CREXDATA_Dortmund_DRZ,simulation-f2fafb5b-9b48-49cb-bc6c-66b566a3bcf3,4,deepwaive-5.1,60.0,60.0,CREXDATA_Dortmund_DRZ/simulation-f2fafb5b-9b48-49cb-bc6c-66b566a3bcf3/max_water_levels.tif,7972964,c289b02eff3039ee280a22725382c6a1ce602b161f415e754752065db75c899a
