id,area,Y,M,O,Total
0905903,17564857.4667726,2073,8196,5581,15850
0905905,29657299.6596565,7602,30075,18980,56657
0905906,2856934.60908587,1539,6156,4202,11897
0905907,15843102.2231815,1528,6371,4122,12021
0905908,19266030.977712,2266,8865,5927,17058
0905909,21230542.6732365,6507,25292,16088,47887
09073_AM,103045820.582412,483,2172,1656,4311
09109_AM,279218718.10407,402,1341,808,2551
09141_AM,473604857.607302,932,3154,2013,6099
09174_AM,737864305.80484,806,2631,1744,5181
09177_AM,414756042.83631,559,2111,1249,3919
09194_AM,905742900.891287,811,3149,1871,5831
09209_AM,643872755.302108,1539,4554,1846,7939
09211_AM,1272399092.99743,950,3031,1634,5615
09219,101411174.660257,6882,17436,11833,36151
09238_AM,937682728.297428,963,3179,2190,6332
09289_AM,437919454.278218,636,2313,1993,4942
09321_AM,473544950.151837,808,2697,1547,5052
09330_AM,931310445.213887,817,2620,1452,4889
09350_AM,792097885.431262,689,2462,1492,4643
09363_AM,863369821.09011,789,2547,1716,5052
09410,263276671.114472,1193,2516,746,4455
09413_AM,1878854349.60816,865,3015,2063,5943
09434_AM,113051817.519576,873,3086,1759,5718
09439_AM,205818840.112883,841,2469,1591,4901
09903_AM,464827437.714512,1141,3585,2878,7604
09907_AM,605390064.400294,1150,3665,1801,6616
10006_AM,336539810.13433,782,2835,1859,5476
10010_AM,311263159.66138,928,3420,2273,6621
10018_AM,1323183485.38393,1141,3178,1563,5882
10019_AM,317875929.530391,837,2970,1661,5468
10020_AM,500885527.532326,713,2688,1579,4980
10021,128211545.285905,1062,3614,1580,6256
10035_AM,134362674.225558,1004,3094,1396,5494
1003701,358841882.683618,6042,13750,5071,24863
1003702,18471574.4567409,3616,7943,2900,14459
1003703,365697.359762176,1537,3503,1361,6401
1003704,228529336.95721,6790,16050,7005,29845
1003705,838619.515777768,1757,4004,1556,7317
1003706_AD,1146660772.01894,2132,4871,1875,8878
10049_AM,337747848.498752,1219,4117,1991,7327
10050_AM,417981432.676286,696,2830,1869,5395
10061_AM,1033141405.16636,1129,3517,2237,6883
10064_AM,425128542.306273,1169,3552,1860,6581
10067,103529678.19341,1956,7913,2975,12844
10087_AM,519110298.638851,974,2775,1741,5490
10089_AM,282380284.219671,850,2752,2036,5638
10096_AM,105937734.644267,911,2843,1627,5381
10104,62592321.6535395,454,3569,2573,6596
10105_AM,220235996.054378,978,2819,1722,5519
10109_AM,807235092.19166,1163,3635,1887,6685
10110_AM,290092360.944995,1251,4068,2567,7886
10113_AM,522729146.574327,778,2819,1909,5506
10115,32226151.1066711,491,2134,1962,4587
10116_AM,446652839.770048,885,2654,1965,5504
10121,120947261.785047,1942,5239,3217,10398
10127,96472867.8146619,813,2988,2200,6001
10128,124616880.579482,806,3562,2788,7156
10131,156174397.282349,1669,8184,7438,17291
10140_AM,1543008131.74413,1271,3893,1833,6997
10146_AM,518061438.756592,825,2686,1522,5033
10147_AM,215731591.078949,970,3095,1773,5838
10148,217885305.081111,7503,16112,15379,38994
10175_AM,1185432448.42331,1321,4272,2492,8085
10177_AM,367384512.290772,1547,4550,2194,8291
10180_AM,245788318.558944,1509,5025,3158,9692
10184_AM,277552760.624439,955,3024,1463,5442
10186_AM,1360005475.80726,919,3018,1729,5666
10189_AM,561069098.894402,1037,3133,2018,6188
10195_AM,841682335.362938,1599,5503,2945,10047
10203,595447580.61895,1256,3557,861,5674
10205_AM,385325021.971006,919,2947,1606,5472
10212_AM,291173248.205202,1018,2950,2022,5990
10216_AM,377694398.461441,849,2835,1638,5322
11001,480456054.776839,837,2847,1733,5417
11002_AM,129286773.681311,755,4378,3450,8583
1100401,5060320.76850982,3734,16355,13264,33353
1100402,13922605.4290864,3338,14620,11857,29815
1100403,56816606.2419911,2408,10530,8533,21471
1100404,10807002.0326415,3933,17226,13971,35130
11005_AM,162016114.456661,1989,4298,1443,7730
11006,528444223.546397,682,15972,15684,32338
11007,143640101.026119,4345,12933,6637,23915
11008,331995044.140592,5813,13097,4467,23377
11010_AM,178420606.786899,2178,6405,3739,12322
11011_AM,282530826.817248,1031,2831,1797,5659
1101201,330302.306515117,1226,2965,1605,5796
1101202,186654.115914633,1156,2797,1514,5467
1101203,352508.911163935,1162,2810,1521,5493
1101204,174569.124849867,896,2168,1173,4237
1101205,134588.28860243,903,2185,1183,4271
1101206_AD,1030023.97445094,1700,4112,2226,8038
1101208,1697290.88141937,5486,13266,7181,25933
1101209,959797.586112457,5034,12173,6590,23797
1101210,7466246.17163666,5748,13918,7561,27227
11014,88836236.7052502,4162,12121,7317,23600
1101501,30892974.4747862,1901,6746,6780,15427
1101502,999007.213344715,1104,4027,4134,9265
1101503,1025034.87091225,1153,4204,4316,9673
1101504,3746841.91437996,3027,11035,11328,25390
1101505,169181591.201363,3421,12450,12712,28583
11016,32816151.6800574,3211,9477,8347,21035
1102001,688728.116531534,1025,2870,987,4882
1102002,2313976.97709253,5940,16632,5724,28296
1102003,3287597.12120345,4397,12313,4237,20947
1102004,9158930.17750975,4950,13860,4770,23580
1102005,1722805.0430685,2643,7402,2547,12592
1102006,11034546.0568523,14302,40046,13782,68130
1102007,7590798.27050274,5953,16668,5736,28357
1102008_AD,521130990.646926,1374,4025,1650,7049
1102009,633512612.1918,3930,11066,3662,18658
11021_AM,525596066.173785,1704,6368,5109,13181
1102201,784183.186771519,1365,4189,2575,8129
1102202,1500007.59222604,1630,5001,3075,9706
1102203,1346644.29508135,2838,8710,5355,16903
1102204,550376.029851276,1171,3594,2209,6974
1102205,784524.804353119,1275,3913,2406,7594
1102206,638934.792225243,1203,3692,2270,7165
1102207,13761054.1803048,1027,3153,1938,6118
11023,488473190.921936,2023,7686,2565,12274
11024_AM,211314864.099984,1448,5175,2706,9329
11025,14022753.7755678,866,2817,1992,5675
11026_AM,121259303.718563,1345,4403,1815,7563
1102701,3727576.69147905,8258,22669,12306,43233
1102702,13925410.8754651,3282,9011,4891,17184
1102703,113694641.665818,4590,12618,6842,24050
1102704,28076653.298845,945,2610,1446,5001
11028,196398686.210457,4938,17712,17910,40560
11029,80003865.4307448,808,4485,1832,7125
11030,84220995.2000158,4415,17158,8295,29868
1103101,9805610.80489006,3075,9635,8667,21377
1103102_AD,638424.176972506,1349,4226,3800,9375
1103104,399127.205556152,1120,3508,3154,7782
1103105,649237.64474168,1470,4606,4141,10217
1103106,19058168.2808279,6363,19838,17727,43928
1103201,43217260.4379301,4110,16330,7485,27925
1103202,5786604.98745109,1236,4713,2401,8350
1103203_AD,1950401.99099883,1522,6050,2771,10343
1103205,120007514.513857,3075,12236,5649,20960
11033,147137622.725204,3232,15999,11297,30528
11035,420543572.313835,4464,10018,4092,18574
11037,70141870.3354024,508,2857,3727,7092
11038,69969298.7045339,3219,8881,4642,16742
11039,263526561.118109,3285,8390,2413,14088
11041,212335214.824448,2838,7373,2912,13123
11901,60840324.7686375,1507,4387,1399,7293
11902_AM,251300426.953376,734,3354,2121,6209
12004,167400343.36943,1056,4210,1624,6890
12005,94952625.1668587,1991,4555,4260,10806
12009,32975763.9138943,5692,13765,6522,25979
12011_AM,37698465.6021018,1889,4282,1201,7372
12012_AM,215938675.665459,920,3176,2442,6538
12016_AM,228337498.67299,831,2880,1784,5495
12021,21482450.2433066,1079,3566,1469,6114
12027,48121043.0661597,5400,14648,7282,27330
12028,36240928.5763325,2137,8275,8822,19234
12031_AM,115982199.188743,1601,4892,2716,9209
12032,47119957.3189289,3959,19497,10918,34374
12033_AM,257402102.517244,864,2923,1795,5582
1204001_AD,881057.623213658,1660,6593,4743,12996
1204003,800708.459252626,2109,8377,6027,16513
1204004,1855174.83997861,3887,15438,11106,30431
1204005,21250416.5494623,2280,8951,6379,17610
1204006,8218560.60284063,3749,14401,10174,28324
1204007,36407750.4214941,3057,11988,8685,23730
1204008,16626555.0043328,2074,8225,5909,16208
1204009,23012608.0887963,2444,9530,6802,18776
12050_AM,402315528.999913,832,2806,1529,5167
12072_AM,722459844.493477,936,3114,1986,6036
12077_AM,28160044.9052434,1404,5736,2449,9589
12080_AM,1293125929.62541,820,2844,1791,5455
12082_AM,56507219.3536146,2801,9105,4997,16903
12084,108569781.209979,2054,10661,12105,24820
12085,26470745.6445757,2368,6604,3970,12942
12089,79358307.0717095,1373,4147,2247,7767
12100_AM,271681724.453934,1317,3561,1411,6289
12104,106262931.125158,2152,5468,1988,9608
12106_AM,148638028.584163,937,3038,1745,5720
12117,29954784.0390232,768,2761,2044,5573
12121_AM,343997058.326742,1041,2876,1627,5544
12124_AM,226200284.027116,938,3395,1939,6272
12126,67161165.7073328,4610,17137,10717,32464
12129_AM,575905608.267785,1074,3174,1988,6236
1213501,1407221.10823939,626,2938,1698,5262
1213502,9109186.1466665,3102,13840,7925,24867
1213503,12753791.1897917,1134,5195,3003,9332
1213504,31906523.2338656,1197,5574,3206,9977
12138,95455723.8198763,6346,17525,4450,28321
12140_AM,577401342.079436,876,2852,1698,5426
12901,12781729.9106714,539,2610,1409,4558
13005,667596668.889314,5703,19405,7404,32512
13011,240007707.70964,849,3022,1682,5553
13013_AM,349872282.144668,1587,5255,5917,12759
13015,1209991954.27198,523,2786,3385,6694
13019,397788460.940613,652,3754,2970,7376
13020_AM,237438397.791889,1248,3987,1436,6671
13023,88049152.2032606,1539,7521,3539,12599
13027_AM,872503040.739624,1669,4390,2030,8089
13028_AM,334040698.530543,1251,7239,6653,15143
13031_AM,301757878.81585,1521,4581,1914,8016
1303401_AD,273226273.394712,2318,8625,5672,16615
1303402,7473104.46154314,3913,14414,9450,27777
1303403,1015624.19922859,1091,4021,2636,7748
1303404,3663244.17964928,2466,9085,5956,17507
13038_AM,720426791.700308,835,2769,1600,5204
13039,438902170.060631,2115,11576,4747,18438
13042_AM,1402804253.37185,972,2682,1054,4708
13044_AM,214677714.038774,633,2557,1301,4491
13047,227117884.516564,1449,5083,2972,9504
13052,365204437.26746,1127,4564,3231,8922
13053_AM,495339332.951149,2200,9664,7103,18967
13054,144167045.614425,1078,3405,1833,6316
13056,118540139.518306,1812,8757,5033,15602
13058,188411635.898108,473,2631,2375,5479
13061,101530052.577917,1585,4218,2230,8033
13063_AM,810574478.11662,1978,4583,805,7366
13064_AM,1301058265.65299,1393,4543,2381,8317
13065_AM,317847455.711377,952,2867,1315,5134
13068_AM,2310025876.95746,857,3021,1692,5570
13071,227074281.61776,12144,27184,8869,48197
13077_AM,735064955.614704,1201,4291,2374,7866
13078,374551617.49868,2690,7342,3627,13659
13079,134348179.73748,3421,9797,2755,15973
13082,242186814.491694,2997,18525,17072,38594
13085_AM,1074044629.5087,1515,4789,2262,8566
13087,488406430.639818,5193,14987,10805,30985
13089_AM,1127820139.96394,1096,3503,2270,6869
13092_AM,613367474.954224,1184,3937,2592,7713
13093_AM,182828043.63167,969,3213,1631,5813
13096,282222695.360759,2394,5373,2213,9980
13097_AM,218372500.495945,1026,2926,1873,5825
14001_AM,357380307.484261,949,3722,2780,7451
14002,166697668.832624,2713,7478,3942,14133
14005_AM,245302610.325757,1433,5368,3339,10140
14007_AM,382493792.810696,3894,10947,6891,21732
14008_AM,799238204.507092,1002,3621,2565,7188
14009_AM,377531978.926956,1063,3318,2175,6556
14010_AM,103828026.617867,1824,4991,2348,9163
14012_AM,224583434.192462,1490,6277,3490,11257
14013,229501320.911106,3090,9974,8009,21073
14017,79081247.3260856,2130,8105,5181,15416
14019,220165000.594353,1545,4388,2750,8683
1402101,65569379.1493578,5659,20890,17059,43608
1402102,146142652.8854,7479,27830,22327,57636
1402103,197132.593558952,393,1461,1181,3035
1402104,299278.795858454,767,2849,2302,5918
1402105,430544285.211833,4655,17550,13745,35950
1402106,172040013.892989,8735,32248,26428,67411
1402107,347595.000958384,679,2521,2038,5238
1402108,318818.703726076,489,1817,1468,3774
1402109,403216124.730617,5311,19864,16109,41284
1402110,46184200.6631694,7185,26343,21520,55048
14022_AM,57612117.7066909,668,2467,2510,5645
14023_AM,485310303.84182,1048,3464,1940,6452
14027,29819403.0967002,1600,6111,2148,9859
14029_AM,873318348.659481,993,3396,2084,6473
14030_AM,74847852.8270791,1969,8141,1164,11274
14035,531989242.00458,1335,3140,2752,7227
14038,351831107.364233,6892,24285,12485,43662
14039_AM,220952945.370356,941,3015,1848,5804
14041_AM,114191045.722852,615,3480,3605,7700
14042,168846040.452344,4478,11734,7510,23722
14043_AM,1100699717.89353,1823,6712,3460,11995
14045_AM,52504290.3528157,875,3117,2143,6135
14046,69332734.0643217,1383,2949,1179,5511
14049,200483004.675449,4362,14031,3050,21443
14052,65122364.118387,2952,7126,1762,11840
14053_AM,1071322849.26612,2055,6187,3929,12171
14054,330472178.596198,1820,7733,7864,17417
14055_AM,368056644.032117,5111,14039,7656,26806
14056,171293312.483986,5793,16911,8411,31115
14057_AM,199236109.310509,2768,8671,4631,16070
14058_AM,269216574.061048,2572,7322,4968,14862
14060_AM,272114998.821778,1247,3586,1230,6063
14066,22083560.8940389,1381,4750,1626,7757
14067_AM,105109864.776067,1141,5389,2951,9481
14069_AM,787454633.034539,2207,6878,3237,12322
14073_AM,1349823802.60232,1545,5578,3313,10436
15001,83970956.1470109,893,3348,1631,5872
15002,80128947.1489463,3601,14805,11965,30371
15004,18280887.2672043,662,2581,2760,6003
15005,93368294.4421647,3997,14552,12867,31416
15006_AM,222923213.073286,1911,4568,1628,8107
15008,32730520.6105,1363,3660,2153,7176
15009,24264565.1153649,1790,5968,5132,12890
15010_AM,340344684.59376,989,3155,2409,6553
15011,86602630.530489,2061,11354,5654,19069
15012_AM,188634621.94935,1410,4203,2441,8054
15013,74925805.804093,1471,4422,2546,8439
15014_AM,136553423.094533,1472,3788,2313,7573
15016,51821138.8516214,589,2839,2266,5694
15017,40742967.0608422,3484,12299,8888,24671
15019,186924174.844055,6575,19328,5858,31761
15020_AM,258121894.372331,1209,3501,3744,8454
15021,48055662.7990577,1190,3355,2003,6548
15022_AM,186760062.623592,1201,4647,3888,9736
15023_AM,64040788.028466,1916,5070,2248,9234
15024_AM,235539288.837074,1523,4017,3118,8658
15029,141196590.906837,922,3604,1958,6484
1503001,948598.41906935,1845,6921,3537,12303
1503002,1985347.0882153,4491,16841,8608,29940
1503003,988329.39027323,3607,13526,6913,24046
1503004,999862.217892802,4379,16423,8394,29196
1503005,3721134.25488748,4962,18608,9510,33080
1503006,454996.740226969,3689,13836,7071,24596
1503007,4195080.68174163,7725,28972,14808,51505
1503008,4118871.74837335,1628,6099,3136,10863
1503009,11867557.2408377,1721,6448,3348,11517
1503010,8297485.08527676,1324,4966,2553,8843
15031,62369414.5239194,4155,13629,12436,30220
15032_AM,236907567.429029,937,3363,1831,6131
15035_AM,57024623.7852417,2074,8840,5635,16549
1503601,572922.91136598,934,4136,2430,7500
1503602,1029248.0610528,1951,8634,5073,15658
1503603_AD,1465013.73856872,1270,5623,3304,10197
1503606,2553515.85731136,1800,7913,4683,14396
1503607,6916793.99211354,1336,5889,3476,10701
1503608,69991644.5177151,1150,5085,2990,9225
15037,29419755.5568845,837,3014,1215,5066
15041,125841793.656052,2215,7108,2225,11548
15043,61393299.7524583,1288,3418,1231,5937
15046,101321309.202576,1389,3671,2657,7717
15047_AM,188556709.413911,588,2538,2140,5266
15048,32537955.1796952,1264,3704,1473,6441
15050_AM,260306357.618198,833,2627,1450,4910
15051,12772950.5946456,498,2941,1946,5385
15052_AM,246134960.34291,1166,4232,2788,8186
15053,72842121.2932434,1158,4505,3730,9393
15054,67096931.9192948,5362,19792,14043,39197
15055_AM,123681073.745909,1269,4255,3014,8538
15056,115195688.028359,1223,3967,1934,7124
15057,37192062.9570894,2939,7410,4555,14904
15058,43617445.4995311,5032,20551,10109,35692
15059,157375018.76447,1421,6658,4664,12743
15060,72099852.2037488,1187,4121,2001,7309
15061_AM,339037046.82897,2576,6682,2420,11678
15062,99791844.8294016,1091,3416,2113,6620
15064_AM,141842723.078903,757,3507,1796,6060
15065,48416565.7087479,1461,4965,2593,9019
15066,131942496.23006,834,2217,1886,4937
15067,32551488.1084361,1503,5617,2737,9857
15068,92039219.4275589,1530,3144,1165,5839
15069,29448948.5866794,1309,3858,3052,8219
15070_AM,321632338.843995,1921,7098,2383,11402
15071,94620677.2583093,1482,5549,2839,9870
15072,58812426.6723896,1985,7201,2757,11943
15073,68613646.8591298,4682,14998,8261,27941
15074_AM,222653832.395644,2174,6427,2811,11412
15075,27498854.0338447,1631,8710,5935,16276
15077,203777217.870864,2286,5666,1665,9617
1507801,29010321.2033866,1449,3416,2594,7459
1507802,27122019.6898796,2837,6533,4943,14313
1507803,23882173.1256305,2084,4801,3632,10517
1507804,20268944.8868036,4935,11514,8527,24976
1507805,11167167.7856305,5099,11743,8884,25726
1507806,109216013.340356,935,2187,1631,4753
15082,79339386.3000147,3997,9624,5419,19040
15087,88228394.6720938,1719,3869,1737,7325
15088_AM,308202306.951249,1815,5462,3790,11067
15089,52809748.7622251,907,2827,1384,5118
15092,187610791.874623,1538,4426,1712,7676
15093,133152010.346886,894,2434,1595,4923
15902,151566316.63131,728,2755,1865,5348
16023_AM,1449623811.26063,933,2960,1592,5485
16027_AM,916558607.339533,854,2754,1453,5061
16042_AM,1528003312.91585,911,2681,1387,4979
16066_AM,450283347.202416,1197,3400,2135,6732
1607801_AD,773847013.291944,2298,7352,3169,12819
1607804,147918019.450845,6588,21359,10232,38179
16102_AM,635239346.575114,992,3385,1815,6192
16106_AM,181988714.981405,975,2601,1766,5342
16112_AM,1471767766.21529,906,2784,1710,5400
16113_AM,278708160.479888,1008,3110,1456,5574
16117_AM,1494612012.32284,963,2853,1569,5385
16124_AM,339570994.249118,810,3037,1816,5663
16125_AM,271125106.496658,783,2551,1838,5172
16133,176407453.066899,1458,3390,1598,6446
16134,74032951.0320416,1820,3506,896,6222
16154,224971026.531038,815,4025,2086,6926
16170_AM,1351616884.23229,816,2553,1268,4637
16171_AM,415242814.178863,900,2910,1706,5516
16175,79999260.2719224,1794,4148,2068,8010
16190,277791058.244837,1414,3808,2734,7956
16191_AM,989562300.427168,1078,3157,1656,5891
16203,106993196.2612,2699,7671,4820,15190
16249_AM,489617806.996973,1203,3687,1497,6387
16251_AM,555549601.349001,824,2966,2223,6013
16903_AM,897130561.770253,927,2998,1808,5733
16905_AM,1582297143.37156,1007,2850,1499,5356
17006_AM,388972515.408059,897,2671,1653,5221
17007_AM,287508684.371202,1562,5308,3010,9880
17008,16324707.2538778,1028,2352,2056,5436
17009,86288174.4346038,997,3063,2021,6081
17012_AM,86586151.644828,1156,3268,1716,6140
17013_AM,53017297.6057453,964,4008,2533,7505
17015,10996892.8140952,2264,9928,6589,18781
17016_AM,105432459.296312,937,2957,1374,5268
17019_AM,123899983.198327,952,2558,1402,4912
17020_AM,56320691.6815887,1593,4474,2094,8161
17022,20750890.2615765,1311,5932,3147,10390
17023,17987903.0711017,5591,21475,12926,39992
17032_AM,91973577.7162414,970,3010,1679,5659
17033,57341437.1299071,1621,4363,1695,7679
17034,33813932.9767088,2191,5477,3981,11649
17036_AM,252674052.217952,977,2860,1905,5742
17039_AM,343314336.825937,808,2870,1956,5634
17044,45610313.4691952,889,3965,4894,9748
17047,42279856.65459,1942,5876,3486,11304
17048,21544018.4678505,2097,6835,2613,11545
17049_AM,27457620.6859255,2028,3848,677,6553
17056_AM,140984982.310356,1047,3012,1477,5536
17062,16263866.5329851,665,4247,5887,10799
17066,18948852.5681769,6320,26378,12970,45668
17067_AM,107915909.817216,910,2805,1796,5511
1707901,2847509.83512253,1552,4442,1571,7565
1707902,7423228.22692728,6592,18948,6934,32474
1707903,4285384.66098353,7560,21641,7654,36855
1707904_AD,20500612.2842352,1892,5374,1975,9241
1707906,4011014.00492336,1663,4858,2565,9086
17083_AM,138997360.924297,1422,4355,2539,8316
17086_AM,151327555.786412,577,1936,977,3490
17089,76544345.1644828,1178,3949,3181,8308
17092_AM,61467191.3458488,1095,3234,1943,6272
17094,12828080.5388618,219,688,445,1352
17095,48420926.1768629,5335,16774,15407,37516
17103,45631872.7813004,1674,3701,1813,7188
17111_AM,419281541.721186,905,3059,1744,5708
17114,28971334.8071092,6127,18641,10002,34770
17117,26883256.2923118,5735,11820,5860,23415
17118,14068716.4123921,3006,9411,6111,18528
17132_AM,97738655.5750542,1010,3059,1719,5788
17137_AM,137939624.382518,1035,3121,1503,5659
17141,18765677.5959311,1407,3945,3198,8550
17142_AM,50124358.0750119,910,3039,2043,5992
17146_AM,32196512.9599162,1409,3588,2746,7743
17147,73279429.1343456,1654,5554,2543,9751
17152,46014997.7500361,3821,11073,5187,20081
17155,6511094.00667909,7069,18317,4144,29530
17160,16127899.7598816,4069,11990,6355,22414
17163_AM,110169487.12144,1455,4338,1784,7577
17164_AM,152065293.107525,1151,3537,1902,6590
17167_AM,306753511.764877,789,2633,1420,4842
17178_AM,83687383.0271525,1151,3013,1746,5910
17180_AM,107406649.586128,2272,7247,3481,13000
17181,67822129.1172061,1314,3327,821,5462
17185_AM,89077365.1037225,1060,2715,1550,5325
17186,4151745.30181475,707,2167,2070,4944
17193,30124500.8939382,950,3188,2100,6238
17199,66309502.9665908,1521,6203,4075,11799
17202,38558577.3036003,1315,2998,1477,5790
17207_AM,158984727.86327,984,3203,1607,5794
17211_AM,85275497.6538009,868,2801,2181,5850
17213,48187331.6626072,828,3781,3299,7908
17221,8271684.20891731,672,2501,2226,5399
17223_AM,210009185.20586,731,2393,1613,4737
17233_AM,45837108.49921,766,2564,1766,5096
17901_AM,195616309.702988,1101,2885,1441,5427
17902_AM,109042854.707669,1058,3159,1721,5938
18003,78644569.2583137,4009,10401,4887,19297
18006,63044069.3385429,1507,3894,1612,7013
18011_AM,20466873.7953519,1426,4635,3045,9106
18013_AM,509215711.677448,1624,5172,2247,9043
18014_AM,76355747.0513553,1360,5964,3830,11154
18017,83567348.6657447,3715,14863,9262,27840
18021,4384644.80028337,4783,12759,6129,23671
18022,47351050.8922854,4221,10186,4123,18530
18023,546426534.388257,2331,12076,7278,21685
18027_AM,29947689.6373543,1418,3013,1453,5884
18029_AM,512523042.10017,1228,3510,1910,6648
18036,2028746.00737536,1532,2879,770,5181
18047,6542622.91723532,1801,4399,1644,7844
18056_AM,645539366.287525,1946,5175,1628,8749
18057,4170221.02574648,1433,3683,2344,7460
18059,21293349.4909863,735,2939,1821,5495
18061_AM,442952957.748543,1100,3776,1893,6769
18062,6751048.55062523,3203,8474,3021,14698
18063_AM,241005336.391527,856,2601,1659,5116
18066_AM,111571931.24116,1284,4449,2609,8342
18071_AM,107748143.320537,1742,4547,2416,8705
18079_AM,47100257.4637648,2217,6402,3140,11759
18084,11894036.479428,574,2795,2343,5712
1808701,8419441.36812093,4449,10766,3571,18786
1808702,5447693.61594376,11250,29423,11376,52049
1808703,10331177.0252021,14476,33459,9246,57181
1808704_AD,33902908.4602115,2408,5828,1882,10118
1808706,3005206.92345418,6511,15639,5320,27470
1808707,18692989.7489712,7212,16755,4659,28626
1808709,8435815.47522874,3723,8603,2348,14674
18088_AM,392114834.182088,944,2739,1533,5216
18089,324844137.50332,3273,10685,5930,19888
18093,31077054.5741771,683,2571,1889,5143
18094_AM,328398005.357453,944,2945,1934,5823
18098,474193200.459924,1286,3969,2527,7782
18099_AM,140901844.181654,886,2800,1429,5115
18100,40013300.2761067,1706,5994,3226,10926
18101,4320208.11526158,1870,5234,4621,11725
18102_AM,203321036.381852,2339,7278,3767,13384
18105,248080294.996296,768,2599,1774,5141
18108_AM,365359436.654648,924,2927,1588,5439
18116_AM,163930280.300459,1090,3172,1556,5818
18119_AM,226940491.009207,1077,2654,1470,5201
18122_AM,459645125.729148,4700,12057,5285,22042
18127,4906312.6068843,3578,9574,8275,21427
18132_AM,322538479.653538,1161,4138,2774,8073
18133_AM,135900911.528137,1153,3469,1781,6403
18134,89043039.074529,1266,3866,2080,7212
18135_AM,346642682.397817,1759,4589,2026,8374
18136_AM,186311824.669971,865,2909,1686,5460
18138_AM,143937594.372607,1658,4361,2424,8443
1814001,3883598.93444826,1391,3401,2226,7018
1814002,17745318.9731444,2428,6134,4050,12612
1814003,2820839.95918877,1100,2690,1760,5550
1814004,16284644.6536005,4877,11922,7803,24602
1814005_AD,69209254.3896755,2318,5740,3777,11835
18145,6809430.53639558,2320,8173,3472,13965
18147,134396355.502353,681,2345,2625,5651
18149_AM,103824436.247437,1680,4796,2895,9371
18150,89363555.2407321,1232,5025,2463,8720
18152_AM,513501232.045139,753,2319,1338,4410
18153,10168202.2785394,2124,6100,3037,11261
18158,93103703.554641,1423,5012,3876,10311
18162_AM,285092404.080922,931,2750,1479,5160
18164_AM,1099486655.78892,1044,3002,1951,5997
18165,6354643.74095865,1335,3114,1103,5552
18173,35100346.8245986,1601,6648,4706,12955
18175,38244220.7083646,3013,8423,3576,15012
18182_AM,276586555.248121,883,2868,1411,5162
18184_AM,206808031.855648,801,2646,1880,5327
18193,19846179.3777384,2387,10462,6578,19427
18194_AM,273709646.140483,1246,3254,1187,5687
18903_AM,443376045.617759,816,2348,1198,4362
18905,39099114.6216148,4243,10833,5720,20796
18907_AM,529524860.891694,944,2645,1626,5215
18911,14281374.701144,2522,6236,2149,10907
19024,13653830.4907413,2990,6895,2557,12442
19046_AM,65367639.2986345,5703,18796,13286,37785
19053_AM,998184024.869815,1005,2863,1493,5361
19058_AM,66712053.9539306,2752,6929,3263,12944
19071_AM,98834716.5438019,2413,8014,5822,16249
19086_AM,2628324508.6316,847,2643,1459,4949
1913001,129619209.21269,3165,12272,4756,20193
1913002,6761961.82648384,3814,15462,5669,24945
1913003,7020821.47901307,2409,9766,3581,15756
1913004,74202204.987197,2013,7708,3108,12829
1913005,17895866.1595604,1167,4396,1823,7386
19151_AM,1712720365.60826,1009,3001,1552,5562
19156_AM,1142447449.17584,916,2556,1134,4606
19160_AM,595303544.321039,1295,4010,2233,7538
19171,31234885.3942374,1661,3748,2140,7549
19190_AM,1879869739.19546,942,2897,1688,5527
19192_AM,329575990.618852,1132,3371,2032,6535
19220_AM,30831594.6861605,1239,2951,1300,5490
19245_AM,1160149608.4705,1092,3258,1818,6168
19257_AM,754913696.673146,1003,2886,1502,5391
19274_AM,256700086.302687,860,2670,1540,5070
19280_AM,59248988.9632536,1886,5069,1682,8637
19319,11177651.816153,1252,3830,1883,6965
19326_AM,61789676.6294474,941,2950,2053,5944
19331_AM,46756219.3883327,1041,3481,2321,6843
20005_AM,75339039.4776681,818,2437,1270,4525
20009,27241955.5989593,1932,8293,4567,14792
20010_AM,23481054.2081849,1008,2380,867,4255
20013,25806256.1471974,1040,4219,1661,6920
20017,54963218.9507592,1593,7427,2639,11659
20018,69513614.7040109,2288,7137,5003,14428
20019,30104986.8924654,1710,7865,4668,14243
20022_AM,117765429.885587,623,1742,964,3329
20025_AM,106004514.911323,1169,2904,1745,5818
20027_AM,50272868.6294147,780,2255,1591,4626
20028_AM,22689254.439849,745,2038,841,3624
20029,50589419.0105828,1056,4094,482,5632
20030,24777768.0903182,5708,16313,4944,26965
20032,38820871.3884528,1855,5809,4221,11885
20034_AM,54358914.1116703,668,2167,1353,4188
20036,29589471.9138727,3119,9391,4393,16903
20039_AM,87691781.1523982,1166,3676,2117,6959
20040,39963964.5876491,2955,10707,5908,19570
20042,5131889.42385836,823,2243,959,4025
20043_AM,93973334.4960834,1005,2637,1392,5034
2004501,487435.045608369,1294,4474,1812,7580
2004502,28377210.2176988,2807,9704,3938,16449
2004503,4297169.88189502,4578,15673,6412,26663
2004504,8867718.72826528,1848,6343,2569,10760
20049,12274974.8092841,829,3374,1254,5457
20051,42382019.1449114,1495,5061,1853,8409
20052_AM,94584542.9199698,626,1997,1077,3700
20053,8489225.48067668,1431,3730,993,6154
20055,33422745.875345,3824,11814,5562,21200
20056_AM,52998626.465024,1645,4469,1607,7721
